H1,H2,H3,H4,H5,H6,H7,H8,HWavg,Q1,Q2,Proj1,Proj2,totals
10.0,10.0,10.0,10.0,10.0,8.9,10.0,10.0,98.42857142857143,76.92307692,69.45,97.75,93.33,90.52087912057144
10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,98.57142857142858,90.42105263,88.97058824,90.5,93.3,93.38412207042857
9.75,10.0,10.0,10.0,9.5,9.5,10.0,10.0,98.21428571428571,85.33333333,82.31707317,95.0,95.0,93.09518002278571
9.75,10.0,10.0,10.0,10.0,9.5,10.0,10.0,98.92857142857142,73.80952381,69.51219512,96.5,89.0,89.03635307757142
10.0,10.0,10.0,9.8,9.9,9.0,7.0,8.0,93.85714285714285,74.23076923,78.79,98.63,93.83,90.58221978014285
10.0,9.5,10.0,10.0,10.0,10.0,9.9,10.0,99.14285714285714,92.69230769,92.41,95.25,93.58,95.31858791185715
10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,99.85714285714286,91.15384615,89.45,92.13,93.67,94.33352747214286
10.0,9.5,10.0,10.0,10.0,10.0,10.0,10.0,99.28571428571429,91.89473684,92.64705882,92.3,93.0,94.58224679271429
9.5,10.0,9.5,9.5,9.5,10.0,10.0,10.0,97.14285714285714,74.94736842,79.41176471,89.5,92.7,89.62435869135714
10.0,10.0,9.5,9.5,10.0,8.5,10.0,10.0,96.42857142857142,53.33333333,48.17073171,95.5,94.0,84.08751451807143
10.0,10.0,10.0,10.0,9.7,10.0,10.0,10.0,99.57142857142857,64.73684211,76.47058824,90.0,91.3,88.64070101842857
10.0,10.0,10.0,9.9,9.5,10.0,10.0,10.0,99.14285714285714,90.47619048,89.02439024,96.5,96.0,95.44413472685713
10.0,10.0,10.0,9.8,9.5,9.5,10.0,10.0,98.28571428571428,81.33333333,76.2195122,96.5,86.0,89.85197444871429
9.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,97.85714285714286,86.21052632,91.91176471,92.0,93.3,93.48996019564285
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,93.38461538,100.0,98.88,94.167,97.65621153800001
10.0,10.0,9.9,10.0,10.0,10.0,10.0,9.0,99.85714285714286,84.15384615,80.56521739,88.63,90.67,90.85081008064286
